"ANOENC","NUMERO","NORDEN","CATEGMH","SUSPRIN","RELASP","EDAD","SEXO","PAISNACIM","NACIONA","PAISNACION","SITURES","ECIVILLEGAL","NORDENCO","UNION","CONVIVENCIA","NORDENPA","PAISPADRE","NORDENMA","PAISMADRE","ESTUDIOS","ESTUDRED","SITUACT","SITURED","OCU","JORNADA","PERCEP","IMPEXACP","INTERINP","NINODEP","HIJODEP","ADULTO","FACTOR"
2023,7935,1,1,6,2,45,1,1,1,NA,1,2,2,1,1,99,1,99,1,7,4,1,1,1,1,1,2282,5,6,6,1,1504.03823
2023,7935,2,1,1,1,41,6,1,1,NA,1,2,1,1,1,99,1,99,1,7,4,1,1,1,1,1,2600,6,6,6,1,1504.03823
2023,7935,3,1,6,3,8,1,1,1,NA,1,1,99,NA,3,1,1,2,1,NA,NA,NA,NA,NA,NA,6,NA,NA,1,1,6,1504.03823
2023,7936,1,1,1,1,51,6,2,2,1,1,2,2,1,1,99,2,99,2,3,2,1,1,1,1,1,1500,4,6,6,1,830.094764
2023,7936,2,1,6,2,58,1,2,2,1,1,2,1,1,1,99,2,99,2,3,2,1,1,1,1,1,1000,3,6,6,1,830.094764
2023,7936,3,1,6,3,30,1,2,2,1,1,1,99,NA,3,2,2,1,2,3,2,1,1,1,1,1,1500,4,6,6,1,830.094764
2023,7937,1,1,6,2,44,1,2,2,1,1,2,2,1,1,99,2,99,2,6,4,3,1,2,NA,1,-9,1,6,6,1,230.882959
2023,7937,2,1,1,1,39,6,1,1,NA,1,2,1,1,1,99,1,99,1,6,4,1,1,1,1,1,-9,4,6,6,1,230.882959
2023,7937,3,1,6,3,5,1,1,1,NA,1,1,99,NA,3,1,2,2,1,NA,NA,NA,NA,NA,NA,6,NA,NA,1,1,6,230.882959
2023,7938,1,1,1,1,44,6,4,2,3,1,4,99,NA,3,99,4,99,4,5,4,1,1,1,2,1,-9,2,6,6,1,2307.268519
2023,7938,2,1,6,3,16,1,1,2,3,1,1,99,NA,3,99,2,1,4,3,2,5,2,2,NA,1,200,1,1,1,6,2307.268519
2023,7939,1,1,1,1,37,6,4,3,3,1,1,99,NA,3,99,4,99,4,4,3,1,1,1,1,1,-9,3,6,6,1,922.342265
2023,7939,2,1,6,3,10,1,1,1,NA,1,1,99,NA,3,99,1,1,4,NA,NA,NA,NA,NA,NA,6,NA,NA,1,1,6,922.342265
2023,7940,1,1,1,1,60,1,1,1,NA,1,2,2,1,1,99,1,99,1,3,2,1,1,1,1,1,-9,3,6,6,1,655.037962
2023,7940,2,1,6,2,47,6,1,1,NA,1,2,1,1,1,99,1,99,1,3,2,1,1,1,1,1,-9,3,6,6,1,655.037962
2023,7940,3,1,6,3,18,6,1,1,NA,1,1,99,NA,3,1,1,2,1,3,2,3,1,2,NA,6,NA,NA,6,6,1,655.037962
2023,7941,1,1,1,1,78,1,1,1,NA,1,2,2,1,1,99,1,99,1,3,2,4,2,2,NA,1,-9,-9,6,6,1,1371.971868
2023,7941,2,1,6,2,76,6,1,1,NA,1,2,1,1,1,99,1,99,1,3,2,4,2,2,NA,1,-9,-9,6,6,1,1371.971868
2023,7941,3,1,6,3,22,1,1,1,NA,1,1,99,NA,3,1,1,2,1,4,3,3,1,2,NA,6,NA,NA,6,6,1,1371.971868
2023,7942,1,1,6,2,47,6,1,1,NA,1,2,2,1,1,99,1,99,1,7,4,6,2,2,NA,6,NA,NA,6,6,1,652.520713
2023,7942,2,1,1,1,55,1,1,1,NA,1,2,1,1,1,99,1,99,1,4,3,1,1,1,1,1,-9,6,6,6,1,652.520713
2023,7942,3,1,6,3,10,6,1,1,NA,1,1,99,NA,3,2,1,1,1,NA,NA,NA,NA,NA,NA,6,NA,NA,1,1,6,652.520713
2023,7943,1,1,6,3,51,1,1,1,NA,1,1,99,NA,3,2,1,99,1,3,2,1,1,1,1,1,1000,3,6,6,1,1172.546612
2023,7943,2,1,1,1,81,1,1,1,NA,1,3,99,NA,3,99,1,99,1,2,1,4,2,2,NA,1,1350,3,6,6,1,1172.546612
2023,7944,1,1,1,1,46,6,1,1,NA,1,2,2,1,1,99,1,99,1,7,4,1,1,1,1,1,-9,5,6,6,1,260.316941
2023,7944,2,1,6,2,48,1,1,1,NA,1,2,1,1,1,99,1,99,1,5,4,1,1,1,1,1,-9,5,6,6,1,260.316941
2023,7944,3,1,6,3,12,1,1,1,NA,1,1,99,NA,3,2,1,1,1,NA,NA,NA,NA,NA,NA,6,NA,NA,1,1,6,260.316941
2023,7944,4,1,6,3,7,1,1,1,NA,1,1,99,NA,3,2,1,1,1,NA,NA,NA,NA,NA,NA,6,NA,NA,1,1,6,260.316941
2023,7945,1,1,1,1,48,1,1,1,NA,1,2,2,1,1,99,1,99,1,5,4,1,1,1,1,1,1350,3,6,6,1,2064.583111
2023,7945,2,1,6,2,48,6,1,1,NA,1,2,1,1,1,99,1,99,1,4,3,1,1,1,1,1,1150,3,6,6,1,2064.583111
2023,7946,1,1,1,1,42,1,1,1,NA,1,1,2,2,2,99,1,99,1,4,3,2,1,1,1,1,-9,5,6,6,1,1279.352283
2023,7946,2,1,6,2,38,6,1,1,NA,1,1,1,2,2,99,1,99,1,4,3,1,1,1,1,1,-9,3,6,6,1,1279.352283
2023,7946,3,1,6,3,17,1,1,1,NA,1,1,99,NA,3,99,4,2,1,3,2,5,2,2,NA,6,NA,NA,1,1,6,1279.352283
2023,7947,1,1,1,1,59,1,1,1,NA,1,5,2,3,2,99,1,99,1,3,2,1,1,1,1,1,-9,3,6,6,1,1655.803912
2023,7947,2,1,6,2,63,6,1,1,NA,1,5,1,3,2,99,1,99,1,4,3,3,1,2,NA,6,NA,NA,6,6,1,1655.803912
2023,7948,1,1,1,1,74,6,1,1,NA,1,1,99,NA,3,99,1,99,1,2,1,4,2,2,NA,1,1150,3,6,6,1,408.219199
2023,7948,2,1,6,6,67,6,1,1,NA,1,1,99,NA,3,99,1,99,1,2,1,4,2,2,NA,1,900,2,6,6,1,408.219199
2023,7949,1,1,1,1,50,1,1,1,NA,1,2,2,1,1,99,1,99,1,7,4,1,1,1,1,1,-9,5,6,6,1,424.897454
2023,7949,2,1,6,2,55,6,1,1,NA,1,2,1,1,1,99,1,99,1,5,4,1,1,1,1,1,-9,4,6,6,1,424.897454
2023,7949,3,1,6,3,12,6,1,1,NA,1,1,99,NA,3,1,1,2,1,NA,NA,NA,NA,NA,NA,6,NA,NA,1,1,6,424.897454
2023,7949,4,1,6,3,35,6,1,1,NA,1,1,99,NA,3,99,1,2,1,3,2,2,1,1,1,1,-9,3,6,6,1,424.897454
2023,7950,1,1,6,2,56,6,1,1,NA,1,2,2,1,1,99,1,99,1,3,2,1,1,1,2,1,1300,3,6,6,1,473.896721
2023,7950,2,1,1,1,58,1,1,1,NA,1,2,1,1,1,99,1,99,1,3,2,1,1,1,1,1,500,2,6,6,1,473.896721
2023,7950,3,1,6,3,31,1,1,1,NA,1,1,99,NA,3,2,1,1,1,7,4,1,1,1,1,1,1200,3,6,6,1,473.896721
2023,7950,4,1,6,3,26,1,1,1,NA,1,1,99,NA,3,2,1,1,1,6,4,3,1,2,NA,6,NA,NA,6,6,1,473.896721
2023,7951,1,1,1,1,54,1,1,1,NA,1,5,2,3,2,99,1,99,1,4,3,1,1,1,1,1,-9,3,6,6,1,371.838291
2023,7951,2,1,6,2,53,6,1,1,NA,1,5,1,3,2,99,1,99,1,5,4,3,1,2,NA,1,-9,1,6,6,1,371.838291
2023,7951,3,1,6,3,20,1,1,1,NA,1,1,99,NA,3,1,1,2,1,4,3,5,2,2,NA,6,NA,NA,1,1,6,371.838291
2023,7952,1,1,1,1,64,1,1,1,NA,1,4,99,NA,3,99,1,99,1,4,3,4,2,2,NA,1,-9,2,6,6,1,873.453151
2023,7953,1,1,1,1,50,6,4,2,3,1,3,99,NA,3,99,4,99,4,3,2,1,1,1,1,1,-9,3,6,6,1,1004.409648
2023,7953,2,1,6,3,31,1,4,2,3,1,1,99,NA,3,99,4,1,4,7,4,1,1,1,2,1,-9,1,6,6,1,1004.409648
2023,7953,3,1,6,3,30,6,4,2,3,6,1,99,NA,3,99,4,1,4,5,4,1,1,1,2,1,-9,1,6,6,1,1004.409648
2023,7954,1,1,1,1,60,6,1,1,NA,1,5,99,NA,3,99,1,99,1,2,1,6,2,2,NA,1,480,1,6,6,1,334.97042
2023,7955,1,1,1,1,63,1,1,1,NA,1,2,2,1,1,99,1,99,1,5,4,4,2,2,NA,1,-9,5,6,6,1,1104.591888
2023,7955,2,1,6,2,60,6,1,1,NA,1,2,1,1,1,99,1,99,1,5,4,1,1,1,2,1,-9,2,6,6,1,1104.591888
2023,7956,1,1,1,1,76,1,1,1,NA,1,2,2,1,1,99,1,99,1,3,2,4,2,2,NA,1,1200,3,6,6,1,1914.281222
2023,7956,2,1,6,2,72,6,1,1,NA,1,2,1,1,1,99,1,99,1,3,2,4,2,2,NA,1,1000,3,6,6,1,1914.281222
2023,7957,1,1,1,1,73,6,1,1,NA,1,3,99,NA,3,99,1,99,1,3,2,4,2,2,NA,1,1630,4,6,6,1,2319.066051
2023,7958,1,1,1,1,67,1,1,1,NA,1,2,2,1,1,99,1,99,1,3,2,4,2,2,NA,1,-9,2,6,6,1,520.466898
2023,7958,2,1,6,2,62,6,1,1,NA,1,2,1,1,1,99,1,99,1,4,3,6,2,2,NA,6,NA,NA,6,6,1,520.466898
2023,7958,3,1,6,3,30,6,1,1,NA,1,1,99,NA,3,1,1,2,1,3,2,1,1,1,1,1,-9,3,6,6,1,520.466898
2023,7959,1,1,1,1,39,1,4,2,3,1,1,99,NA,3,99,4,99,4,3,2,3,1,2,NA,1,-9,2,6,6,1,777.495217
2023,7960,1,1,1,1,36,6,1,1,NA,1,1,99,NA,3,99,1,99,1,5,4,1,1,1,1,1,-9,3,6,6,1,560.658621
2023,7960,2,1,6,6,32,1,1,1,NA,6,1,99,NA,3,99,1,99,1,7,4,2,1,1,1,1,-9,3,6,6,1,560.658621
2023,7961,1,1,1,1,68,1,1,1,NA,1,2,2,1,1,99,1,99,1,3,2,4,2,2,NA,1,-9,3,6,6,1,554.550818
2023,7961,2,1,6,2,65,6,1,1,NA,1,2,1,1,1,99,1,99,1,3,2,6,2,2,NA,6,NA,NA,6,6,1,554.550818
2023,7962,1,1,1,1,59,1,1,1,NA,1,2,2,1,1,99,1,99,1,7,4,1,1,1,1,1,-9,7,6,6,1,1618.496219
2023,7962,2,1,6,2,56,6,1,1,NA,1,2,1,1,1,99,1,99,1,7,4,1,1,1,1,6,NA,NA,6,6,1,1618.496219
2023,7962,3,1,6,3,21,6,4,1,NA,1,1,99,NA,3,1,1,2,1,4,3,5,2,2,NA,6,NA,NA,1,1,6,1618.496219
2023,7962,4,1,6,3,18,1,1,1,NA,6,1,99,NA,3,1,1,2,1,4,3,5,2,2,NA,6,NA,NA,1,1,6,1618.496219
2023,7962,5,1,6,3,21,6,1,1,NA,6,1,99,NA,3,1,1,2,1,4,3,5,2,2,NA,6,NA,NA,1,1,6,1618.496219
2023,7963,1,1,1,1,49,1,1,1,NA,1,2,2,1,1,99,1,99,1,3,2,1,1,1,1,1,1500,4,6,6,1,3053.78897
2023,7963,2,1,6,2,42,6,1,1,NA,1,2,1,1,1,99,1,99,1,3,2,3,1,2,NA,1,1150,3,6,6,1,3053.78897
2023,7963,3,1,6,3,18,6,1,1,NA,1,1,99,NA,3,1,1,2,1,4,3,5,2,2,NA,6,NA,NA,1,1,6,3053.78897
2023,7963,4,1,6,3,13,6,1,1,NA,1,1,99,NA,3,1,1,2,1,NA,NA,NA,NA,NA,NA,6,NA,NA,1,1,6,3053.78897
2023,7963,5,1,6,3,9,6,1,1,NA,1,1,99,NA,3,1,1,2,1,NA,NA,NA,NA,NA,NA,6,NA,NA,1,1,6,3053.78897
2023,7964,1,1,6,6,64,1,4,3,3,1,2,2,1,1,99,4,99,4,4,3,1,1,1,1,1,-9,3,6,6,1,3986.156206
2023,7964,2,1,6,6,45,6,4,2,3,1,2,1,1,1,99,4,99,4,4,3,1,1,1,1,1,-9,3,6,6,1,3986.156206
2023,7964,3,1,1,1,38,6,4,3,3,1,1,99,NA,3,99,4,99,4,4,3,1,1,1,1,1,-9,3,6,6,1,3986.156206
2023,7964,4,1,6,6,28,1,4,3,3,1,1,99,NA,3,99,4,99,4,4,3,1,1,1,1,1,-9,3,6,6,1,3986.156206
2023,7964,5,1,6,6,21,1,4,2,3,1,1,99,NA,3,99,4,2,4,3,2,5,2,2,NA,6,NA,NA,1,1,6,3986.156206
2023,7964,6,1,6,3,7,6,4,2,3,1,1,99,NA,3,99,4,3,4,NA,NA,NA,NA,NA,NA,6,NA,NA,1,1,6,3986.156206
2023,7965,1,1,1,1,47,1,1,1,NA,1,2,2,1,1,99,1,99,1,6,4,1,1,1,1,1,-9,5,6,6,1,650.245898
2023,7965,2,1,6,2,32,6,3,2,2,1,2,1,1,1,99,3,99,3,4,3,5,2,2,NA,6,NA,NA,6,6,1,650.245898
2023,7965,3,1,6,3,4,1,1,1,NA,1,1,99,NA,3,1,1,2,3,NA,NA,NA,NA,NA,NA,6,NA,NA,1,1,6,650.245898
2023,7966,1,1,6,2,59,1,1,1,NA,1,2,2,1,1,99,1,99,1,3,2,1,1,1,1,1,-9,5,6,6,1,555.813267
2023,7966,2,1,1,1,56,6,1,1,NA,1,2,1,1,1,99,1,99,1,4,3,1,1,1,1,1,-9,5,6,6,1,555.813267
2023,7966,3,1,6,3,25,6,1,1,NA,1,1,99,NA,3,1,1,2,1,6,4,1,1,1,1,1,-9,3,6,6,1,555.813267
2023,7967,1,1,1,1,65,1,1,1,NA,1,3,99,NA,3,99,1,99,1,4,3,4,2,2,NA,-9,-9,-9,6,6,1,1401.868958
2023,7968,1,1,1,1,73,1,1,1,NA,1,2,2,1,1,99,1,99,1,4,3,4,2,2,NA,1,1692,4,6,6,1,539.367668
2023,7968,2,1,6,2,70,6,1,1,NA,1,2,1,1,1,99,1,99,1,3,2,4,2,2,NA,1,1500,4,6,6,1,539.367668
