survey_year,household_id,survey_weight,total_consumption_spend_eur,home_energy_spend_eur,home_electricity_spend_eur,home_gas_spend_eur,home_other_fuels_spend_eur,private_vehicle_fuel_spend_eur,vehicle_diesel_spend_eur,vehicle_petrol_spend_eur,monthly_net_income_eur,household_size,children_under18,employed_members,region_code,municipality_size_code,dwelling_area_m2,heating_energy_source,hot_water_energy_source
2023,5917,199.126007,19484.6097627017,504.00001241425,504.00001241425,0,0,0,0,0,659,2,0,0,18,2,50,No heating,LPG
2023,5918,472.578475,19309.8865326018,1380.00000952223,1380.00000952223,0,0,0,0,0,3488,4,0,2,16,5,81,Electricity,Electricity
2023,5919,374.595168,44564.916064267,2993.999992012708,1331.999989919784,1662.000002092924,0,2768.60549359782,0,2768.60549359782,3800,1,0,1,6,1,74,Natural gas,Natural gas
2023,5920,944.460763,23835.4790711406,0,0,0,0,1107.44219450438,1107.44219450438,0,880,4,2,0,1,1,100,No heating,LPG
2023,5921,748.658672,29630.222222284,419.999997007982,419.999997007982,0,0,0,0,0,2710,5,3,2,2,4,90,Electricity,Electricity
2023,5922,1271.842609,45095.9086557856,1920.00000056611,1319.99999694931,600.0000036168,0,603.727501002445,365.158901513104,238.568599489341,2320,3,1,2,13,1,86,Natural gas,Natural gas
2023,5923,489.467743,52426.5230691617,694.9200123285756,478.5600141172126,216.359998211363,0,0,0,0,3340,2,0,2,2,1,89,Natural gas,Natural gas
2023,5924,826.761432,32759.4079400646,1110.000000580578,839.999996516528,270.00000406405,0,2768.60549053769,0,2768.60549053769,3275,4,2,2,10,1,100,Natural gas,Natural gas
2023,5925,1428.154353,22567.369740041,1332.000001263169,611.520000037419,720.48000122575,0,0,0,0,2586,2,0,0,9,3,112,Natural gas,Natural gas
2023,5926,1352.640955,22784.2143298108,1047.96000354728,1047.96000354728,0,0,3095.61447516573,3095.61447516573,0,1810,2,0,1,10,3,80,No heating,Electricity
2023,5927,219.940961,17039.6676133465,3335.559991483351,528.000011784981,0,2807.55997969837,0,0,0,1517,1,0,0,17,5,165,Other liquid fuels,Other liquid fuels
2023,5928,449.596525,28942.0028324285,1776.000003558747,1776.000003558747,0,0,0,0,0,2778,1,0,1,5,1,80,No heating,Electricity
2023,5929,156.623917,16432.4266005938,1079.999997701501,479.999998978445,599.999998723056,0,0,0,0,565,1,0,0,6,5,50,Solid fuels,Electricity
2023,5930,452.626612,41559.6610125964,732.000000035349,732.000000035349,0,0,2476.49053387961,2476.49053387961,0,2679,2,0,2,16,3,68,Electricity,Electricity
2023,5931,355.347464,12279.0573510326,1410.700007134421,408.000013192721,0,1002.6999939417,0,0,0,1251,2,0,0,15,5,90,Other liquid fuels,Other liquid fuels
2023,5932,430.405262,95974.6300917669,2137.139996211296,862.799999875466,1274.33999633583,0,8952.381627713461,8900.27083358474,52.1107941287205,4303,3,0,2,16,4,120,Natural gas,Natural gas
2023,5933,333.975237,47989.6899362033,960.0000074257,960.0000074257,0,0,115.819784566842,47.6826969060583,68.1370876607837,5030,3,0,0,18,2,140,No heating,LPG
